Provider,ip_claim_count,ip_bene_count,ip_reimb_sum,ip_reimb_mean,ip_admit_days_sum,ip_claim_days_sum,ip_diag_mean,ip_has_operating_rate,op_claim_count,op_bene_count,op_reimb_sum,op_reimb_mean,op_claim_days_sum,op_diag_mean,op_has_operating_rate,provider_bene_count,provider_age_mean,provider_age_std,provider_dead_rate,ChronicCond_Alzheimer_mean,ChronicCond_Heartfailure_mean,ChronicCond_Cancer_mean,total_claim_count,total_reimb_sum,reimb_per_claim,claims_per_bene,reimb_per_bene,ip_claim_share,op_claim_share,total_claim_days_sum,days_per_claim,FraudLabel
PRV51001,5.0,5.0,97000.0,19400.0,30.0,30.0,7.2,0.4,20.0,19.0,7640.0,382.0,31.0,2.2,0.15,24,78.66974674880218,12.189902417386111,0.0,1.4166666666666667,1.25,1.7916666666666667,25.0,104640.0,4185.5998325760065,1.0416666232638907,4359.999818333341,0.19999999200000032,0.7999999680000013,61.0,2.439999902400004,0
PRV51003,62.0,53.0,573000.0,9241.935483870968,382.0,382.0,8.112903225806452,0.6451612903225806,70.0,66.0,32670.0,466.7142857142857,235.0,2.7142857142857144,0.07142857142857142,117,69.47366573649941,13.265544708096167,0.008547008547008548,1.623931623931624,1.4017094017094016,1.9145299145299146,132.0,605670.0,4588.409056148416,1.1282051185623494,5176.666622421653,0.46969696613865936,0.5303030262855831,617.0,4.674242388831497,1
PRV51004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,138.0,52170.0,350.13422818791946,362.0,2.5838926174496644,0.18120805369127516,138,72.94608616294181,12.909559295238076,0.007246376811594203,1.565217391304348,1.4057971014492754,1.8840579710144927,149.0,52170.0,350.1342258380253,1.0797101371035498,378.0434755214241,0.0,0.9999999932885907,362.0,2.42953018503671,0
PRV51005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165.0,495.0,280910.0,241.1244635193133,2433.0,2.5888412017167384,0.1905579399141631,495,70.51753952944918,13.608517610074568,0.006060606060606061,1.6666666666666667,1.4686868686868686,1.8808080808080807,1165.0,280910.0,241.1244633123395,2.3535353487807367,567.4949483484951,0.0,0.9999999991416308,2433.0,2.0884120153747534,1
PRV51007,3.0,3.0,19000.0,6333.333333333333,19.0,19.0,7.333333333333333,0.3333333333333333,69.0,56.0,14710.0,213.18840579710144,122.0,2.7971014492753623,0.15942028985507245,58,68.48658217092685,14.509705315694022,0.017241379310344827,1.6379310344827587,1.4827586206896552,1.896551724137931,72.0,33710.0,468.19443794174396,1.2413792889417365,581.2068865309158,0.041666666087962975,0.9583333200231484,141.0,1.9583333061342596,0
PRV51008,2.0,2.0,25000.0,12500.0,10.0,10.0,7.5,1.0,41.0,34.0,10630.0,259.2682926829268,99.0,2.951219512195122,0.0975609756097561,36,75.24229979466119,12.583752262495848,0.0,1.6111111111111112,1.4166666666666667,1.7777777777777777,43.0,35630.0,828.6046318929156,1.194444411265433,989.7221947299391,0.04651162682531101,0.9534883499188757,109.0,2.5348836619794497,0
PRV51011,1.0,1.0,5000.0,5000.0,6.0,6.0,8.0,0.0,57.0,52.0,11630.0,204.03508771929825,84.0,2.43859649122807,0.21052631578947367,53,73.7148760864231,13.505144682676075,0.018867924528301886,1.5660377358490567,1.3584905660377358,1.9245283018867925,58.0,16630.0,286.72413298751496,1.0943396019935925,313.7735789854042,0.017241379013079674,0.9827586037455414,90.0,1.5517241111771705,0
PRV51012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,31.0,16890.0,351.875,226.0,2.5625,0.16666666666666666,31,76.0964430019209,11.253673183436746,0.0,1.6774193548387097,1.4516129032258065,1.903225806451613,48.0,16890.0,351.874992669271,1.5483870468262242,544.8386921019777,0.0,0.9999999791666672,226.0,4.708333235243058,0
PRV51013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,44.0,14880.0,323.4782608695652,113.0,2.5434782608695654,0.2391304347826087,44,74.56381059050464,13.106759453192831,0.0,1.6590909090909092,1.4318181818181819,1.9090909090909092,46.0,14880.0,323.4782538374293,1.0454545216942155,338.181810495868,0.0,0.9999999782608701,113.0,2.4565216857277896,0
PRV51014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,10480.0,349.3333333333333,44.0,3.6666666666666665,0.3333333333333333,25,72.35624914442162,14.636072574440753,0.04,1.56,1.48,1.92,30.0,10480.0,349.33332168888927,1.199999952000002,419.19998323200065,0.0,0.9999999666666678,44.0,1.4666666177777794,0
PRV51015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,700.0,87.5,11.0,3.125,0.125,7,72.3211107851765,12.4547382867578,0.0,1.4285714285714286,1.1428571428571428,1.5714285714285714,8.0,700.0,87.49998906250137,1.14285697959186,99.99998571428776,0.0,0.9999998750000157,11.0,1.3749998281250215,0
PRV51016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,170.0,28.333333333333332,8.0,3.5,0.16666666666666666,6,70.83276294775268,13.85857000623392,0.0,1.6666666666666667,1.3333333333333333,1.5,6.0,170.0,28.3333286111119,0.9999998333333611,28.3333286111119,0.0,0.9999998333333611,8.0,1.3333331111111482,0
PRV51017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,420.0,142720.0,277.126213592233,1214.0,2.704854368932039,0.18446601941747573,420,72.81789381050162,12.182620027940322,0.011904761904761904,1.611904761904762,1.4333333333333333,1.888095238095238,515.0,142720.0,277.12621305412387,1.226190473270975,339.8095230004535,0.0,0.9999999980582525,1214.0,2.3572815488208128,0
PRV51021,29.0,23.0,269000.0,9275.862068965518,167.0,168.0,8.517241379310345,0.5862068965517241,228.0,187.0,79830.0,350.13157894736844,603.0,2.780701754385965,0.15789473684210525,208,73.8319512451956,12.628869118631481,0.004807692307692308,1.6442307692307692,1.4567307692307692,1.8028846153846154,257.0,348830.0,1357.3151698158943,1.2355769171366495,1677.067299629484,0.11284046648700208,0.8871595296219473,771.0,2.999999988326848,1
PRV51023,9.0,9.0,54000.0,6000.0,41.0,41.0,8.0,0.5555555555555556,27.0,27.0,11610.0,430.0,127.0,3.4074074074074074,0.25925925925925924,35,72.90255206805516,13.076647596904223,0.0,1.542857142857143,1.4,1.8571428571428572,36.0,65610.0,1822.4999493750015,1.0285713991836745,1874.5713750122466,0.24999999305555576,0.7499999791666673,168.0,4.666666537037041,0
PRV51024,9.0,9.0,61000.0,6777.777777777777,48.0,48.0,7.111111111111111,0.7777777777777778,30.0,29.0,3050.0,101.66666666666667,55.0,2.433333333333333,0.2,38,68.33127994524298,14.63866857649557,0.0,1.631578947368421,1.4473684210526316,1.868421052631579,39.0,64050.0,1642.3076501972398,1.0263157624653747,1685.5262714335192,0.2307692248520712,0.769230749506904,103.0,2.641025573307037,0
PRV51025,13.0,12.0,86000.0,6615.384615384615,104.0,104.0,7.769230769230769,0.6923076923076923,74.0,66.0,32350.0,437.1621621621622,172.0,2.9594594594594597,0.22972972972972974,76,73.81083612522065,13.249252074507748,0.0,1.6842105263157894,1.4736842105263157,1.868421052631579,87.0,118350.0,1360.3448119500597,1.1447368270429366,1557.236821615305,0.14942528563878982,0.8505747028669575,276.0,3.1724137566389223,0
PRV51026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,56.0,19840.0,261.05263157894734,159.0,2.4078947368421053,0.14473684210526316,56,69.54835240050845,14.657174123809083,0.017857142857142856,1.5714285714285714,1.5535714285714286,1.8392857142857142,76.0,19840.0,261.0526281440444,1.3571428329081638,354.2857079591838,0.0,0.9999999868421054,159.0,2.092105235630194,0
PRV51027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,44.0,29840.0,563.0188679245283,166.0,2.4716981132075473,0.20754716981132076,44,72.30800821355236,13.962430200714762,0.022727272727272728,1.5681818181818181,1.3409090909090908,1.8636363636363635,53.0,29840.0,563.018857301531,1.2045454271694223,678.1818027685954,0.0,0.9999999811320759,166.0,3.132075412602351,0
PRV51029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,79.0,30660.0,329.6774193548387,158.0,2.838709677419355,0.1935483870967742,79,71.4666389415954,12.724012575100016,0.012658227848101266,1.6582278481012658,1.5316455696202531,1.8987341772151898,93.0,30660.0,329.67741580992026,1.17721517497196,388.1012609101106,0.0,0.9999999892473119,158.0,1.698924712914788,0
PRV51030,82.0,71.0,705600.0,8604.878048780487,461.0,461.0,8.097560975609756,0.573170731707317,89.0,78.0,34160.0,383.82022471910113,257.0,2.438202247191011,0.1348314606741573,145,71.86220113762421,14.011048642565353,0.013793103448275862,1.5793103448275863,1.3655172413793104,1.813793103448276,171.0,739760.0,4326.081846046305,1.1793103366944115,5101.793068263496,0.47953216093840845,0.5204678332136384,718.0,4.198830384802162,0
PRV51031,28.0,26.0,329000.0,11750.0,183.0,183.0,8.392857142857142,0.7142857142857143,157.0,135.0,30720.0,195.6687898089172,372.0,2.464968152866242,0.12738853503184713,157,73.08711858643194,14.5989617514273,0.006369426751592357,1.5286624203821657,1.3312101910828025,1.8789808917197452,185.0,359720.0,1944.432421921987,1.1783439415392105,2291.210176489107,0.15135135053323595,0.8486486440613586,555.0,2.999999983783784,0
PRV51032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,21.0,5420.0,235.65217391304347,44.0,2.347826086956522,0.21739130434782608,21,71.06652325543496,12.682688331795404,0.047619047619047616,1.619047619047619,1.380952380952381,1.7619047619047619,23.0,5420.0,235.65216366729723,1.0952380430839026,258.09522580498924,0.0,0.999999956521741,44.0,1.9130433950850696,0
PRV51035,1.0,1.0,29000.0,29000.0,15.0,15.0,9.0,1.0,29.0,24.0,3560.0,122.75862068965517,83.0,2.1724137931034484,0.27586206896551724,25,75.25639972621492,15.688588390413088,0.0,1.72,1.44,1.88,30.0,32560.0,1085.3332971555567,1.199999952000002,1302.399947904002,0.033333332222222255,0.9666666344444454,98.0,3.266666557777781,0
PRV51036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,131.0,74880.0,269.3525179856115,570.0,2.615107913669065,0.18345323741007194,131,72.19735515254114,12.514206908484049,0.0,1.6946564885496183,1.4809160305343512,1.8702290076335877,278.0,74880.0,269.35251701671757,2.1221373883806307,571.6030490717325,0.0,0.9999999964028777,570.0,2.0503597048548214,0
PRV51037,23.0,21.0,214000.0,9304.347826086956,128.0,127.0,8.043478260869565,0.391304347826087,431.0,202.0,128230.0,297.51740139211137,1023.0,2.7169373549883993,0.18329466357308585,206,72.0650571825389,14.214239322598692,0.014563106796116505,1.645631067961165,1.441747572815534,1.8689320388349515,454.0,342230.0,753.810571026849,2.2038834844471675,1661.3106715470356,0.0506607928399542,0.9493392049574026,1150.0,2.53303964199771,1
PRV51038,30.0,26.0,229600.0,7653.333333333333,151.0,151.0,7.3,0.4666666666666667,111.0,83.0,35890.0,323.3333333333333,241.0,2.2432432432432434,0.16216216216216217,107,71.49551900823275,13.008300327664795,0.009345794392523364,1.5233644859813085,1.4018691588785046,1.8317757009345794,141.0,265490.0,1882.9077880644838,1.3177569970303085,2481.2149300821034,0.2127659559378301,0.7872340369699714,392.0,2.780141824254313,0
PRV51040,9.0,8.0,63000.0,7000.0,104.0,104.0,7.777777777777778,0.4444444444444444,77.0,62.0,11470.0,148.96103896103895,125.0,2.948051948051948,0.2077922077922078,69,71.60801118947714,14.649631826616531,0.014492753623188406,1.6231884057971016,1.434782608695652,1.9130434782608696,86.0,74470.0,865.9302224891835,1.2463767935307712,1079.275346677169,0.1046511615738237,0.8953488267982694,229.0,2.6627906667117367,0
PRV51041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,31.0,7410.0,217.94117647058823,114.0,2.5294117647058822,0.17647058823529413,31,70.480581130909,12.601372219755968,0.0,1.4838709677419355,1.5161290322580645,1.7741935483870968,34.0,7410.0,217.94117006055384,1.0967741581685755,239.03225035379836,0.0,0.9999999705882362,114.0,3.352941077854674,0
